Subject,Course Number,Section,CRN,Course Title,Credit Hours,Instructor,Campus,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 11,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
SEGR,3107,001,10243,"Decision and Risk Analysis
Lecture",3.0,Ertunga Ozelkan (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",08:30  AM,09:45  AM,Cameron Hall,153,08/19/2024,12/12/2024,44,21,3.0,3.0
SEGR,3110,001,12638,"System Design and Deployment
Lecture",3.0,Linquan Bai (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday",04:00  PM,05:15  PM,Smith,303,08/19/2024,12/12/2024,34,30,3.0,3.0
SEGR,3111,001,12262,"Project Management
Lecture",3.0,Gary Teng (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,Smith,303,08/19/2024,12/12/2024,34,20,3.0,3.0
SEGR,3201,001,12903,"Operations Research I: Deterministic Models
Lecture",3.0,Mohammad Kazemi (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",08:30  AM,09:45  AM,Fretwell,306,08/19/2024,12/12/2024,20,17,3.0,3.0
SEGR,3201,002,12904,"Operations Research I: Deterministic Models
Lecture",3.0,Alan Dow (Primary),Main Campus or Dubois Campus,,,,,"Monday,Wednesday,Friday",09:05  AM,09:55  AM,Woodward Hall,155,08/19/2024,12/12/2024,30,22,3.0,3.0
SEGR,3290,001,10244,"Systems Design Project I
Lecture",2.0,"Churlzu Lim (Primary)
Meg Harkins",Main Campus or Dubois Campus,,,,,"Wednesday,Friday",08:00  AM,09:55  AM,,TBA,08/19/2024,12/12/2024ThursdaySMTWTFS07:00  PM - 09:45  PM Type: Class Building: None Room: TBA Start Date: 08/19/2024 End Date: 12/12/2024,25,9,3.0,3.0
SEGR,3291,001,11145,"Systems Design Project II
Lecture",2.0,"Churlzu Lim (Primary)
Meg Harkins",Main Campus or Dubois Campus,,,,,"Monday,Friday",08:00  AM,09:55  AM,,TBA,08/19/2024,12/12/2024ThursdaySMTWTFS07:00  PM - 09:45  PM Type: Class Building: None Room: TBA Start Date: 08/19/2024 End Date: 12/12/2024,11,0,3.0,3.0
SEGR,4101,001,15882,"Network Modeling & Analysis
Lecture",3.0,Churlzu Lim (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,Cameron Hall,153,08/19/2024,12/12/2024,20,17,3.0,3.0
SEGR,4114,001,12639,"Production Control Systems
Lecture",3.0,Ertunga Ozelkan (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",02:30  PM,03:45  PM,Cameron Hall,153,08/19/2024,12/12/2024,20,1,5.0,5.0
SEGR,4141,001,11611,"Engineering Experimental Design
Lecture",3.0,Agnes Ozelkan (Primary),Main Campus or Dubois Campus,,,,,"Tuesday,Thursday",04:00  PM,05:15  PM,Cameron Hall,153,08/19/2024,12/12/2024,25,12,5.0,5.0
